Document,Topic_group,Priority
I need to download my payslip for March,HR Support,Low
Where can I find my salary slip?,HR Support,Low
My laptop screen is broken and flickering,Hardware,Medium
I forgot my password and I am locked out,Access,High
We need to order 5 new monitors,Purchase,Low
I cannot login to the VPN,Access,High
My mouse is not working properly,Hardware,Low
Requesting a license for Adobe Photoshop,Purchase,Low
How do I apply for sick leave?,HR Support,Low
The printer is jammed and out of paper,Hardware,Medium
I need a new keyboard because keys are stuck,Hardware,Low
Portal for tax declaration is not working,HR Support,Medium
Reset my account password please,Access,High
My wifi is slow and keeps disconnecting,Hardware,Medium
I need to purchase a standing desk,Purchase,Low
Invoice for last month is incorrect,Billing,Medium
Customer #9928 has a billing issue,Billing,Medium
I cannot access the payroll portal,Access,High
System says invalid credentials when logging in,Access,High
My headset microphone is not working,Hardware,Low
I want to apply for casual leave next week,HR Support,Low
Please buy a PyCharm license for the team,Purchase,Low
Laptop battery drains very fast,Hardware,Medium
Refund request for transaction #INV-2024,Billing,Medium
Error 403 when trying to access Jira,Access,High
I need my Form-16 for tax filing,HR Support,Low
The scanner in the hallway is dead,Hardware,Medium
We need to procure 10 office chairs,Purchase,Low
Double charge on my credit card,Billing,High
I am unable to sign in to Outlook,Access,High
My monitor is showing a blue screen,Hardware,High
Where is the policy for work from home?,HR Support,Low
Urgent: My computer is overheating and smoking,Hardware,High
I need access rights to the AWS console,Access,Medium
Payment for client #55 failed,Billing,High
Requesting approval for a new whiteboard,Purchase,Low
How do I check my provident fund balance?,HR Support,Low
VPN connection failed due to timeout,Access,High
My docking station is not charging my laptop,Hardware,Medium
I need to update the billing address for invoice #999,Billing,Low
Please order a new ergonomic mouse,Purchase,Low
I cannot see my pay stub for December,HR Support,Low
My account is locked after 3 failed attempts,Access,High
The projector in the meeting room is broken,Hardware,Medium
We need a subscription for Slack Premium,Purchase,Low
Discrepancy in my salary calculation,HR Support,Medium
I need to reset my MFA token,Access,High
My CPU fan is making a loud noise,Hardware,Medium
Quote approval needed for new server rack,Purchase,Low
Customer is asking for a refund on order #102,Billing,Medium
How do I claim gym reimbursement?,HR Support,Low
I lost my ID card and need a new one,HR Support,Medium
The coffee machine is leaking,Hardware,Low
Internet is down in the 2nd floor office,Hardware,High
I need to install Docker on my machine,Access,Medium
Grant me admin rights for the new project,Access,Medium
My screen resolution is stuck and blurry,Hardware,Low
We need to buy a license for Zoom Pro,Purchase,Low
Where do I submit my investment proof?,HR Support,Low
I cannot connect to the shared drive,Access,High
The server is unreachable,Access,High
My laptop keyboard is spilling random characters,Hardware,Medium
Requesting a quote for 50 laptops,Purchase,Low
Billing cycle needs to be changed for client X,Billing,Low
I did not receive my joining bonus,HR Support,High
My email is not syncing on my phone,Access,Medium
I need a replacement for my broken charger,Hardware,Medium
We need to purchase a new router,Purchase,Medium
The air conditioner in the server room is off,Hardware,High
I forgot my username for the HR portal,Access,Medium
How many paid leaves do I have left?,HR Support,Low
My laptop won't turn on at all,Hardware,High
Please order 3 external hard drives,Purchase,Low
I am getting a 404 error on the internal wiki,Access,Medium
My tax deduction seems too high,HR Support,Medium
The webcam is not recognized by Zoom,Hardware,Medium
We need to renew our domain name,Purchase,High
I cannot print documents from my macbook,Access,Medium
My payslip password is not working,HR Support,Medium
My laptop battery is draining too fast,Hardware,Medium
I need to download my payslip for April,HR Support,Low
Where can I find the holiday calendar?,HR Support,Low
Login failed for the VPN client,Access,High
I forgot my SAP password,Access,High
We need to order 3 new monitors for design team,Purchase,Low
My mouse scroll wheel is broken,Hardware,Low
Requesting a license for Adobe Illustrator,Purchase,Low
How do I apply for paternity leave?,HR Support,Low
The printer on the 3rd floor is jamming,Hardware,Medium
I need a new mechanical keyboard,Hardware,Low
Tax portal is throwing a 500 error,HR Support,Medium
Please reset my domain password,Access,High
WiFi signal is weak in the conference room,Hardware,Medium
I need a headset with noise cancellation,Purchase,Low
Invoice #3321 has the wrong amount,Billing,Medium
Client #400 wants to update billing details,Billing,Low
I cannot access the payroll dashboard,Access,High
System says 'User not found' on login,Access,High
My webcam is showing a black screen,Hardware,Medium
I want to carry forward my casual leaves,HR Support,Low
Please buy a IntelliJ IDEA license,Purchase,Low
Laptop shuts down randomly,Hardware,High
Refund status for transaction #9981?,Billing,Medium
Permission denied when accessing /var/www,Access,High
I need my tax computation sheet,HR Support,Low
The barcode scanner is not beeping,Hardware,Medium
We need 5 ergonomic chairs,Purchase,Low
Unrecognized charge on the corporate card,Billing,High
Outlook keeps crashing on startup,Access,High
My monitor has dead pixels,Hardware,Low
What is the policy for travel reimbursement?,HR Support,Low
Urgent: Server room temperature is rising,Hardware,High
I need read/write access to S3 bucket,Access,Medium
Payment gateway failed for Order #551,Billing,High
Requesting a new magnetic whiteboard,Purchase,Low
How do I update my bank account details?,HR Support,High
VPN disconnects every 10 minutes,Access,High
Docking station USB ports are dead,Hardware,Medium
